,Company Names,Tickers
1033,Nucleus Software Exports Limited,NUCLEUS.NS
1034,NXTDIGITAL LIMITED,NXTDIGITAL.NS
1035,Oriental Aromatics Limited,OAL.NS
1036,Oberoi Realty Limited,OBEROIRLTY.NS
1037,Oriental Carbon & Chemicals Limited,OCCL.NS
1038,Oracle Financial Services Software Limited,OFSS.NS
1039,Oil India Limited,OIL.NS
1040,Oil Country Tubular Limited,OILCOUNTUB.NS
1041,OCL Iron and Steel Limited,OISL.NS
1042,Olectra Greentech Limited,OLECTRA.NS
1043,Omax Autos Limited,OMAXAUTO.NS
1044,Omaxe Limited,OMAXE.NS
1045,Omkar Speciality Chemicals Limited,OMKARCHEM.NS
1046,OM Metals Infraprojects Limited,OMMETALS.NS
1047,Onelife Capital Advisors Limited,ONELIFECAP.NS
1048,One Point One Solutions Limited,ONEPOINT.NS
1049,Oil & Natural Gas Corporation Limited,ONGC.NS
1050,OnMobile Global Limited,ONMOBILE.NS
1051,Onward Technologies Limited,ONWARDTEC.NS
1052,Optiemus Infracom Limited,OPTIEMUS.NS
1053,Opto Circuits (India) Limited,OPTOCIRCUI.NS
1054,Orbit Exports Limited,ORBTEXP.NS
1055,Oricon Enterprises Limited,ORICONENT.NS
1056,Orient Abrasives Limited,ORIENTABRA.NS
1057,Oriental Trimex Limited,ORIENTALTL.NS
1058,Oriental Bank of Commerce,ORIENTBANK.NS
1059,Orient Bell Limited,ORIENTBELL.NS
1060,Orient Cement Limited,ORIENTCEM.NS
1061,Orient Electric Limited,ORIENTELEC.NS
1062,Oriental Hotels Limited,ORIENTHOT.NS
1063,Orient Press Limited,ORIENTLTD.NS
1064,Orient Paper & Industries Limited,ORIENTPPR.NS
1065,Orient Refractories Limited,ORIENTREF.NS
1066,The Orissa Minerals Development Company Limited,ORISSAMINE.NS
1067,Ortel Communications Limited,ORTEL.NS
1068,Ortin Laboratories Limited,ORTINLABSS.NS
1069,Oswal Agro Mills Limited,OSWALAGRO.NS
1070,PAE Limited,PAEL.NS
1071,Page Industries Limited,PAGEIND.NS
1072,Paisalo Digital Limited,PAISALO.NS
1073,Palash Securities Limited,PALASHSECU.NS
1074,Palred Technologies Limited,PALREDTEC.NS
1075,Panacea Biotec Limited,PANACEABIO.NS
1076,Panama Petrochem Limited,PANAMAPET.NS
1077,Huhtamaki PPL Limited,PAPERPROD.NS
1078,Parabolic Drugs Limited,PARABDRUGS.NS
1079,Paramount Communications Limited,PARACABLES.NS
1080,Parag Milk Foods Limited,PARAGMILK.NS
1081,Parsvnath Developers Limited,PARSVNATH.NS
1082,Patel Engineering Limited,PATELENG.NS
1083,Patel Integrated Logistics Limited,PATINTLOG.NS
1084,Patspin India Limited,PATSPINLTD.NS
1085,PC Jeweller Limited,PCJEWELLER.NS
1086,Pudumjee Paper Products Limited,PDMJEPAPER.NS
1087,Parenteral Drugs (India) Limited,PDPL.NS
1088,PDS Multinational Fashions Limited,PDSMFL.NS
1089,Pearl Polymers Limited,PEARLPOLY.NS
1090,Piramal Enterprises Limited,PEL.NS
1091,Pennar Industries Limited,PENIND.NS
1092,Peninsula Land Limited,PENINLAND.NS
1093,Persistent Systems Limited,PERSISTENT.NS
1094,Petron Engineering Construction Limited,PETRONENGG.NS
1095,Petronet LNG Limited,PETRONET.NS
1096,Power Finance Corporation Limited,PFC.NS
1097,Pfizer Limited,PFIZER.NS
1098,Prime Focus Limited,PFOCUS.NS
1099,PTC India Financial Services Limited,PFS.NS
1100,PG Electroplast Limited,PGEL.NS
